year,weightedAvgLivability,weightedAvgDeviation,weightedFacilitiesDeviation,weightedHousingDeviation,weightedSafetyRating,weightedPctUnsafe,totalPopulation,avgPopulation,dimensionScoresAvailable,surveyAvailable,wozAvailable
2014,4.036564278549224373274709,-0.065700572594461342711511,0.051503981937143560699408,-0.013817340606591164460712,0.0,0.0,220615.0,2023.990825688073394495412844,true,false,false
2016,4.053941346388717658069402,-0.048323504754967324818032,0.0,0.0,0.0,0.0,224490.0,2059.541284403669724770642202,false,false,true
2018,4.061295297486486498269564,-0.04096955365719890987179,0.053483136745744340523676,-0.009612982230337571997081,6.820387250703536033280313,0.237723427312929331771862,228844.0,2080.4,true,true,true
2020,4.086707175723608547371479,-0.015557675420076490045112,0.070727308837139079518638,-0.004983823445165899011047,6.867570038361969532564955,0.246191057987235460471792,234086.0,2128.054545454545454545454545,true,true,true
2022,4.100715745702796904210663,-0.001549105440888176099937,0.071992174229233609496157,-0.00410655314089718873865,7.13440802383283401473165,0.240627334647108504103096,237991.0,2163.554545454545454545454545,true,true,true
2024,4.078322406855600750619692,-0.023942444288084763886383,0.071213436529018129111301,-0.012186998361965191004917,7.174356129871185338697225,0.24900235686131090251534,246090.0,2237.181818181818181818181818,true,true,true
